Group	Accu_BS	Accu_PM	Accu_Diff	Avg_BS	Avg_PM	Diff	P_value	FDR
Chitinophagaceae	1083.88333659712	702.648022012861	381.235314584264	0.995301502844008	0.645223160709698	0.350078342134311	0	0
Crocinitomicaceae	1079.3213893903	705.535938832153	373.78545055815	0.99111238695161	0.647875058615384	0.343237328336226	0	0
Methyloligellaceae	1087.40554126712	764.016183703513	323.389357563611	0.998535850566689	0.701575926265853	0.296959924300837	0	0
Nitrospiraceae	1085.77854321323	764.861338091418	320.917205121812	0.997041821132443	0.702352009266684	0.294689811865759	0	0
Bdellovibrionaceae	1077.47312442273	757.647575929521	319.825548493209	0.989415173941901	0.695727801588174	0.293687372353727	0	0
Thermomonosporaceae	1087.88476512313	779.787325535294	308.097439587836	0.998975909203976	0.716058150170151	0.282917759033826	0	0
Steroidobacteraceae	1086.94791745152	782.261497672508	304.686419779016	0.998115626677249	0.7183301172383	0.279785509438949	0	0
Cellvibrionaceae	1079.46024642635	777.302985928116	302.157260498234	0.991239895708311	0.713776846582292	0.277463049126019	0	0
Streptomycetaceae	1082.22813840298	786.184179195603	296.043959207373	0.993781577964165	0.721932212300829	0.271849365663336	0	0
KF-JG30-B3	1089	798.251401472257	290.748598527743	1	0.73301322449243	0.26698677550757	4.82479102269139e-162	7.06066978930447e-162
Kineosporiaceae	1089	800.21636377583	288.78363622417	1	0.734817597590294	0.265182402409706	0	0
Gemmatimonadaceae	1086.93962137112	803.594484541044	283.345136830077	0.998108008605253	0.737919636860463	0.26018837174479	0	0
Dongiaceae	1078.33480645951	799.189003742445	279.145802717067	0.990206433847118	0.733874199947149	0.256332233899969	0	0
Comamonadaceae	1077.9464432017	804.514363682463	273.432079519237	0.98984981010257	0.738764337633115	0.251085472469455	0	0
Methylophilaceae	1074.73477679555	803.877191125069	270.857585670478	0.986900621483514	0.738179238865995	0.248721382617519	0	0
Rhodocyclaceae	1088.70756146701	821.766175721138	266.941385745874	0.999731461402215	0.754606221966151	0.245125239436064	0	0
Micrococcaceae	1082.49748628682	819.271562680367	263.225923606451	0.994028913027381	0.752315484554974	0.241713428472407	0	0
Propionibacteriaceae	1084.3352767554	822.167235227732	262.168041527672	0.995716507580721	0.754974504341352	0.240742003239369	0	0
Gaiellaceae	1086.52031958607	826.192319456641	260.328000129431	0.997722974826513	0.758670633109863	0.239052341716649	0	0
SC-I-84	1087.68065802899	828.755141882873	258.925516146118	0.998788483038559	0.761024005402087	0.237764477636472	0	0
Bacillaceae	1088.11901661902	831.354091879974	256.764924739044	0.99919101617908	0.763410552690518	0.235780463488562	0	0
Alicyclobacillaceae	1089	840.256147823735	248.743852176265	1	0.771585076054853	0.228414923945147	0	0
Saccharimonadaceae	1089	843.94887920472	245.05112079528	1	0.774976013962094	0.225023986037906	4.58014339473717e-284	7.74108742772479e-284
Cellulomonadaceae	916.761423478253	892.354464069011	24.4069594092425	0.841837854433658	0.81942558684023	0.0224122675934275	2.0513690607299e-16	2.43727017116424e-16
Rhizobiaceae	1078.90715991257	835.237083565368	243.670076347202	0.990732010939	0.766976201621091	0.223755809317908	0	0
A21b	1085.60008019911	842.631960482319	242.968119716789	0.99687794324987	0.773766722205986	0.223111221043884	0	0
Sporichthyaceae	1089	847.255949982659	241.744050017341	1	0.778012809901432	0.221987190098568	0	0
Nitrosomonadaceae	1086.49300723644	847.34254266435	239.150464572092	0.997697894615649	0.778092325678925	0.219605568936724	0	0
